"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID","path","true_year","descr"
"44",252,"COL_217","v","sep","lyr","","Барановский В.","Барановский В.","Барановский Василий","Портрет Д. А. И. Р. Л. Соч. Василья Барановского","Одесса","Городская тип.",1838,3,4,25,"РНБ","https://vivaldi.nlr.ru/bx000010159/view/#page=10","Отд. стихотворения","sep_lyr","Lyric booklets","A_86","../../data/collections//252_1838.txt","1838","Портрет Д.А.И.Р.-Л. Соч. Василий Барановский. Одесса: Гор. тип, 1838 "
"45",241,"COL_169","pr","col","lyr","","Башкатов А.","Башкатов А.","Башкатов Алексей Васильевич","Быль и заблуждение моего ума и сердца. Соч. Алексея Башкатова, в стихах и прозе","М.","Евреинова",1838,303,8,23,"ЧБ","https://books.google.com/books?id=Knddqqf_Y_sC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_134","../../data/collections//241_1838.txt","1838","Быль и заблуждения моего ума и сердца. Сочинение Алексея Башкатова в стихах и прозе. М.: А. Евреинова, 1838 "
"46",192,"COL_64","v","col","lyr","","Вердеревский А.","Вердеревский А.","Вердеревский Александр","Стихотворения Александра Вердеревского","М.","Степанова",1838,65,8,23,"","drive/photos/20","Сборники стихотворений","col_lyr","Lyric collections","A_63","../../data/collections//192_1838.txt","1838","СтихотворенияАлександра Вердеревского. М.: тип. Николая Степанова, 1838 "
"47",169,"COL_59","pr","alm","","","Владиславлев В.А.","Владиславлев В.А.","Владиславлев Владимир Андреевич","Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева","СПб.","Воен. тип.",1838,352,12,18,"РГБ","https://dlib.rsl.ru/01003570420","Альманахи","alm","Almanacks","A_65","../../data/collections//169_1838.txt","1838","Альманах на 1838 год, составленный из литературных трудов Бернета, В.А. Владиславлева, П.А. Вяземского (князя), Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, В.И. Даля, М.Д. Деларю, И.И. Дмитриева, П.П. Ершова, П.П. Каменского, И.И. Козлова, Н.В. Кукольника, В.Ф. Одоевского (князя), И.И. Панаева, И.Я. Пожарского, А.С. Пушкина, Е.Ф. Розена (барона), Е.П. Р.-ой (г...ни), В.И. Соколовского, Н.А. Степанова, А.Н. Струговщикова, Д.Ю. Струйского, Л.А. Якубовича. СПб.: Воен. тип., 1838 "
"48",194,"COL_66","pr","alm","","","Владиславлев","Владиславлев В.А.","Владиславлев Владимир Андреевич","Утренняя заря Альманах Владиславлева на 1839 год. 1-й год","СПб.","Фишера",1838,384,8,20,"ЧБ","https://books.google.cz/books?vid=NKP:3186143606&printsec=frontcover#v=onepage&q&f=false","Альманахи","alm","Almanacks","A_65","../../data/collections//194_1838.txt","1838","Утренняя заря. Альманах на 1839 год, изданный В. Владиславлевым "
"49",195,"COL_67","v","col","lyr","","Демидов М.","Демидов М.А.","Демидов Михаил Александрович","Разные разности. Стихотворения М. Демидова","М.","Семена",1838,119,NA,21,"","drive/photos/20","Сборники стихотворений","col_lyr","Lyric collections","A_66","../../data/collections//195_1838.txt","1838","Разные разности. СтихотворенияМ. Демидова. М.: А. Семена при Имп. Мед.-Хирург. акад, 1838 "
"50",197,"COL_68","v","sep","lyr","","Доброхотов Ф.","Доброхотов Ф.","Доброхотов Феофил","Взгляд на поэзию Феофила Доброхотова","М.","Семена",1838,24,8,24,"","drive/photos/20","Отд. стихотворения","sep_lyr","Lyric booklets","A_67","../../data/collections//197_1838.txt","1838","Взгляд на поэзию "
"51",200,"COL_72","v","col","lyr","","Краснов С.","Краснов С.","Краснов Стахий","Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","М.","Кирилова",1838,21,NA,17,"ЧБ","https://books.google.com/books?id=NLD9sV5PsKIC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_71","../../data/collections//200_1838.txt","1838","Стихи, поэт и мулла, сочинение Стахия Краснова. М.: В. Кирилова, 1839 "
"52",202,"COL_74","v","col","lyr","","Максимов М.И.","Максимов М.И.","Максимов Михаил Иванович","Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","СПб.","Глазунова",1838,36,NA,23,"РГБ","https://dlib.rsl.ru/01003559764","Сборники стихотворений","col_lyr","Lyric collections","A_73","../../data/collections//202_1838.txt","1838","Патриотические песни. Сочинение Михаила Максимова. Изд. 3, испр. и умнож., с прилож. нот для пения и форт. М.: А. Семена, 1838 "
"53",211,"COL_82","v","col","lyr","","В. М.","Макшеева В.Д.  / Молчанова В. ","Макшеева Варвара Дмитриевна / Молчанова В.","Стихотворения, сочиненные девицей B.М.","СПб.","Глазунова",1838,11,12,NA,"","drive","Сборники стихотворений","col_lyr","Lyric collections","A_202","../../data/collections//211_1838.txt","1838","Стихотворения, сочиненные Девицею В.М.... СПб.: И. Глазунова и Ко, 1838 "
"54",203,"COL_75","v","col","lyr","","Марков М.","Марков М.А.","Марков Михаил Александрович","Мечты и были: В 3 ч. Ч. 1. Стихотворения","СПб.","Праца",1838,207,NA,17,"ЧБ","https://books.google.com/books?id=cSldXfvSM2IC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_74","../../data/collections//203_1838.txt","1838","Мечты и были М. Маркова. Ч. I. СПб.: Эдуарда Праца и Ко, 1838 "
"55",234,"COL_162","v","col","lyr","","Раевич И.А.","Раевич  И.А.","Раевич Иван Александрович","Плоды вечерних безделок, сочинение Ивана Раевича","М.","Евреинова",1838,77,NA,23,"ЧБ","https://books.google.com/books?id=rxbXPvLwf6cC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_81","../../data/collections//234_1838.txt","1838","Плоды вечерних безделок. Сочинение Ивана Раевича. М.: А. Евреинова, 1838 "
"56",208,"COL_79","v","col","lyr","","Сушков Д.П.","Сушков Д.П.","Сушков Дмитрий Петрович","Стихотворения Д. Сушкова: Первая книжка","СПб.","Штаба отд. корп. внутр. стражи",1838,92,8,23,"ЧБ","https://books.google.com/books?id=twfiA4EnQj0C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_77","../../data/collections//208_1838.txt","1838","Стихотворения Дмитрия Сушкова. Первая книжка. СПб.: Шт. отд. корпуса вн. стражи, 1838 "
"57",249,"COL_204","v","alm","","","","","","Сборник на 1838 год, составленный из литературных трудов: А.К. Бера, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>","СПб.","Воейкова и Ко",1838,321,8,21,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000854&pg_seq=1&search_doc=","Альманахи","alm","Almanacks",NA,"../../data/collections//249_1838.txt","1838","Сборник на 1838 год, составленный из литературных трудов: А.К. Бернета, В.А. Владиславлева, князя П.А. Вяземского, А. П. Глинкиной... СПб.: А.Воейкова и комп., 1838"
"58",298,"COL_201","pr","alm","","","Бобылев Н.И.","Бобылев Н.И.","Бобылев Николай Иванович","Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","СПб.","Штаба отд. корп. внутр. стражи",1839,366,16,14,"ЧБ","https://books.google.com/books?id=wDV_4kS887UC&printsec=frontcover&source=gbs_ViewAPI","Альманахи","alm","Almanacks","A_62","../../data/collections//298_1839.txt","1839","Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым. СПб.: тип. Штаба отд. копуса внутр. стражи, 1839 "
"59",257,"COL_91","v","col","lyr","","Богданов Н.","Богданов Н.","Богданов Николай","Стихотворения Николая Богданова","М.","Семена",1839,50,8,19,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections","A_91","../../data/collections//257_1839.txt","1839","Стихотворения Николая Богданова "
"60",266,"COL_100","v","sep","lyr","ortho","Мысовский-Светогорский С.","Мысовский-Светогорский С.Д.","Мысовский-Светогорский Сергей Дмитриевич","Мысль о бессмертии: [Стихотворение]","СПб.","Глазунова",1839,15,8,22,"","drive/natasha","Отд. стихотворения","sep_lyr","Lyric booklets","A_55","../../data/collections//266_1839.txt","1839","Мысль о бессмертии. Сочинение балашевского мещанина Сергея Мысовского-Светогорского. СПб.: И. Глазунова и Ко, 1839 "
