"review_id","source_id","review_source","score","location"
"R_1138","C_313","OZ","neg","1840. Т. 10. Отд. 6. С. 52-53"
"R_1139","C_313","CO","neg","1840. Т. 3. Кн. 2. С. 379-382"
"R_1144","C_313","BdCH","???","1840. Т. 40. С. 9-10"
"R_1145","C_315","Sovr","pos","1841. Т. 21. С. 98-99"
"R_1146","C_315","OZ","pos","1840. Т. 13. Отд 6. С. 1-6; 1840. Т. 14. Отд. 5. С. 35-"
"R_1151","C_315","Sev_pchela","","1840. № 284. С. 1134-1135; № 285. С. 1138-1140 -- Л.Л."
"R_1152","C_315","BdCH","pos","1840. Т. 43. С. 1-13"
"R_1153","C_316","Sovr","","1840. Т. 18. С. 133-134"
"R_1154","C_316","OZ","neg","1840. Т. 9. Отд. 6. С. 8-9"
"R_1155","C_316","CO","pos","1840. Т. 1. Кн. 4. С. 884"
"R_1158","C_316","JMNP","pos","1840. Ч. 25. Отд. VI. С. 118-122 -- Ф. Менцов"
"R_1159","C_316","Sev_pchela","pos","1840. № 59. С. 234-235 -- Н.С."
"R_1160","C_316","BdCH","pos","1840. Т. 38. С. 29-31"
"R_1161","C_318","Sovr","neg","1840. Т. 19. С. 143"
"R_1162","C_318","OZ","neg","1840. Т. 10. Отд. 6. С. 16-17"
"R_1163","C_318","CO","neg","1840. Т. 2. Кн. 4. С. 849-850"
"R_1168","C_318","BdCH","neg","1840. Т. 40. С. 10"
"R_1169","C_319","Sovr","neg","1840. Т. 19. С. 143"
"R_1170","C_319","OZ","neg; сравнение с Кольцовым","1840. Т. 10. Отд. 6. С. 13-16"
"R_1171","C_319","CO","pos; занимательное рассуждение о том, что у Слепушкина поэзия не от сердца, как у Кольцова","1840. Т. 2. Кн. 3. С. 611-612"
"R_1175","C_319","Sev_pchela","pos","1840. № 135. С. 539 -- Л.Л."
"R_1177","C_320","Sovr","pos","1841. Т. 21. С. 114"
"R_1178","C_320","OZ","pos","1840. Т. 13. Отд. 6. С. 20-42"
"R_1184","C_320","BdCH","","1841. Т. 44. С. 1-4"
"R_1185","C_321","Sovr","neg","1840. Т. 20. С. 97-98"
"R_1186","C_321","OZ","neg","1840. Т. 12. Отд. 6. С. 51"
"R_1195","C_322","CO","neg","1840. Т. 5. Кн. 3-4. С. 475-479"
"R_1200","C_322","BdCH","neg","1840. Т. 43. С. 13"
"R_1201","C_324","Sovr","neg","1840. Т. 19. С. 143"
"R_1202","C_324","OZ","neg","1840. Т. 9. Отд. 6. С. 42"
"R_1209","C_325","Sovr","pos","1840. Т. 18. С. 145"
"R_1210","C_325","OZ","pos","1840. Т. 9. Отд. 6. С. 14-15"
"R_1211","C_325","CO","pos","1840. Т. 2. Кн. 1. С. 192-193"
"R_1215","C_325","Sev_pchela","neg","1840. № 108. С. 451"
"R_1219","C_327","CO","pos; указание на то, что Дерптские наборщини ни слова не понимали по русски","1840. Т. 2. Кн. 2. С. 403"
"R_1225","C_328","Sovr","neg","1840. Т. 20. С. 97-98"
"R_1226","C_328","OZ","neg","1840. Т. 11. Отд. 6. С. 41"
"R_1273","C_339","Sovr","pos","1840. Т. 17. С. 68-69"
"R_1274","C_339","OZ","pos","1839. Т. 7. Отд. 7. С. 3-15"
"R_1275","C_339","CO","pos","1840. Т. 1. Кн. 1. С. 171-173"
"R_1278","C_339","JMNP","pos","1840. Ч. 25. Отд. VI. С. 106-110 -- Ф. Менцов"
"R_1279","C_339","Sev_pchela","pos; отмечено, что было распродано 6т экз","1840. № 23. С. 91"
"R_1280","C_339","BdCH","pos","1840. Т. 38. С. 1-5"
"R_1282","C_340","OZ","neg","1840. Т. 13. Отд. 6. С. 28"
"R_1304","C_342","BdCH","","1835. Т. 10. С. 8-9"
"R_1310","C_343","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"R_1312","C_343","BdCH","neg","1837. Т. 20. С. 37-38"
"R_1318","C_344","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_1319","C_344","Sev_pchela","pos","1837. № 214. 24 сент. С. 853-854 -- П.М."
"R_1320","C_344","BdCH","pos","1837. Т. 25. С. 48"
"R_1327","C_345","Sev_pchela","???; не говорится о стихах","1838. № 44. 22 фев. С. 167"
"R_1328","C_345","BdCH","neg","1838. Т. 28. С. 21-22"
"R_1336","C_348","BdCH","neg; указание на плагиат/перепечатки и небрежность изд.","1838. Т. 29. С. 23-24"
"R_1337","C_346","Sovr","neg","1838. Т. 11. С. 61-62"
"R_1344","C_346","BdCH","neg","1838. Т. 29. С. 27-28"
"R_1363","C_351","CO","pos","1839. Т. 10. Отд. 4. С. 145-147"
"R_1369","C_352","Sovr","pos","1840. Т. 19. С. 143-144"
