"","id","id_st","text","meter"
"51","P_101","P_101_8","Гори'т война' в Святы'х Места'х:
Хочу' не сла'вы, — покая'нья!....
И с ней в и'стленных небеса'х
Хочу' после'днего свида'нья!
Она' прости'т......"" И свой кинжа'л
К уста'м о'и в бе'шенстве прожа'л.","iamb"
"52","P_101","P_101_9","Он шлем наде'л. Схвати'л он щит;
На борзо'го коня' сади'тся;
И чу'дный взор к звёздам стреми'т,
И вдаль на бой крова'вый мчи'тся.
Но с бою' из Земли' Свято'й
Не возврати'лся в край родно'й!
","iamb"
"53","P_1010","P_1010_1","Смотри', как за'пад разгоре'лся
Вече'рним зарево'м луче'й,
Восто'к поме'ркнувший оде'лся
Холо'дной, си'зой чешуёй!
В вражде' ль они' ме'жду собо'ю?
Иль со'лнце не одно' для них
И, неподви'жною средо'ю
Деля', не съединя'ет их?
","iamb"
"54","P_1011","P_1011_1","Я в Ма'е у'тром ра'но вста'ла,
К окну' в разду'мье подошла':
Пе'редо мной вдали' пыла'ла
Заря' плени'тельно - светла';
Вокру'г все чу'дно ожива'ло —
И арома'тная весна'
Мне лёгкой све'жестью дыша'ла
Из растворе'нного окна'.","iamb"
"55","P_1011","P_1011_2","Е'ше безмо'лвия дубра'вы
Не пробуди'л трево'жный день.
Я ви'дела: от рощ кудря'вых
Недви'жимо лежа'ла тень;
Руче'й прозра'чный и студёный ,
Навстре'чу у'тренним луча'м,
Ви'ясь доли'ною зелёной,
Бежа'л свобо'дно по луга'м.","iamb"
"56","P_1011","P_1011_3","Он ни'тью то'нко - серебри'стой
Влива'лся в о'зеро вдали',
Где воды' пу'рпуром огни'стым
Уже' сверка'ли и цвели'.
Мне так легко', так сла'дко бы'ло!
Душа' носи'лася в мечта'х —
И бу'дто го'рний дух пари'ла
Над ми'ром в све'тлых облака'х.","iamb"
"57","P_1011","P_1011_4","Мне мни'лось, с ми'ром и дыша'ла,
И красото'й его' жила',
И с лу'гом тем благоуха'ла,
И вме'сте с той заре'й цвела'.
Как пти'чка, мысль моя' вилася' —
И все игра'ло пе'ред ней...
Внеза'пно пе'сня разда'лася
Перна'той у'зницы мое'й...","iamb"
"58","P_1011","P_1011_5","""Как! и она' свой плен забы'ла,
И утра' бле'щущим краса'м
Свой гимн из кле'тки возноси'ла,
Туда', к безбре'жным небеса'м!""
Так услади'тельно, так чи'сто,
Так зво'нко песнь её лила'сь!
Каза'лось, вслед за голоси'стой
Заря' пышне'е развила'сь.","iamb"
"59","P_1011","P_1011_6","Я до'лго пе'сни той внима'ла ,
Пото'м к певи'це подошла':
Мне жаль её в нево'ле ста'ло;
Я кле'тку ти'хо отперла'.
Моя' затво'рница вспорхну'ла
И очути'лась в небеса'х.
Я вслед за ней туда' взгляну'ла:
Она' легко' вила'сь в круга'х.","iamb"
"60","P_1011","P_1011_7","Порха'я, во'здух рассека'ла,
Мелька'ла там и здесь опя'ть —
Как бу'дто в миг оди'н жела'ла
Все не'бо во'льная обня'ть —
И вот к дубра'ве прилете'ла,
И скры'вшись в мгле её ветве'й,
Мне пе'сню гро'мкую запе'ла
О до'ле счастли'вой свое'й.
","iamb"
