"","author","source","number_of_texts"
"260","Тургенев И. С.","И. С. Тургенев. Стихотворения и поэмы. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1970",57
"261","Тучков С. А.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",6
"262","Тютчев Ф. И.","Тютчев Ф. И. Полное собрание стихотворений",357
"263","Федоров Б. М.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",10
"264","Федотов П. А.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",11
"265","Фет А. А.","А. А. Фет. Стихотворения и поэмы. Библиотека поэта. Большая серия. Третье издание. -- Л.: Советский писатель, 1986",582
"266","Фонвизин Д. И.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",1
"267","Фонвизин Д. И.","Фонвизин Д. И. Собрание сочинений в двух томах. М. Л., 1959",5
"268","Фонвизин П. И.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",9
"269","Хвостов Д. И.","",119
"270","Хвостов Д. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",4
"271","Хвощинская Н. Д.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",12
"272","Хемницер И. И.","И. И. Хемницер. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- М.-Л.: Советский писатель, 1963",258
"273","Херасков М. М.","М. М. Херасков. Избранные произведения. Библиотека поэта. Большая серия. -- М.-Л.: Советский писатель, 1961",64
"274","Хераскова Е. В.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"275","Хованский Г. А.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",6
"276","Хомяков А. С.","А. С. Хомяков. Стихотворения и драмы. Библиотека поэта. Большая серия. Второе издание. -- Л.: Советский писатель, 1969",103
"277","Шаликов П. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",8
"278","Шатров Н. М.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",5
"279","Шевырев С. П.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",3
"280","Шевырев С. П.","С. П. Шевырев. Стихотворения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1939",52
"281","Ширинский-Шихматов С. А.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",11
"282","Ширинский-Шихматов С. А.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",5
"283","Шишков А. А.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",20
"284","Шишков А. С.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",6
"285","Шкляревский П. П.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",7
"286","Шумахер П. В.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",12
"287","Щастный В. Н.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",6
"288","Щербина Н. Ф.","Н. Ф. Щербина. Стихотворения. Библиотека поэта. -- Л.: Советский писатель, 1970",470
"289","Щиглев В. Р.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",14
"290","Языков Н. М.","Н. М. Языков. Полное собрание стихотворений",360
"291","Якубович Л. А.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",27
