"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID"
"61",343,"COL_222","v","col","lyr","","","Ушаков А.А.","Ушаков А.А.","Рукописи из зеленого портфеля","М.","Семена",1836,182,"",22,"ЧБ","https://books.google.com/books?id=ncYzMSLF4v0C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_135"
"62",119,"COL_34","v","col","lyr; nar","","Цимбалин К.","Цимбалин К.И.","Цимбалин Константин Иванович","Сказки и басни К. Цимбалина: В 5 кн.","СПб.","Праца",1836,199,"16",14,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections","A_32"
"63",693,NA,"v","sep","lyr","","П.Ш.","Шереметевский П.В.","Шереметевский Петр Васильевич","История основания и открытия Императорского Московского воспитательного дома ; [Заветный день, или Сердечное излияние чувствований воспитанника Императорского Московского воспитательного дома в день основания оного, 21 апреля] : [Стихотворение] / Соч. П.Ш.","М.","Степанова",1836,103,"",18,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_301"
"64",131,"COL_206","pr","col","lyr","","Щукин К.","Щукин К.","Щукин К.","Литературные занятия","СПб.","Акад. наук",1836,252,"8",20,"ЧБ","https://books.google.com/books?id=Y0c64PMcHJQC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_302"
"65",127,"COL_142","v","sep","lyr","","","","","Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","М.","Семена",1836,3,"",NA,"","","Отд. стихотворения","sep_lyr","Lyric booklets",NA
"66",1094,NA,"v","alm","lyr","songs; ukr lang","","","","Малороссийские и червонорусские народные думы и песни","СПб.","Праца",1836,NA,"8",NA,"","","Альманахи","alm","Almanacks",NA
"67",121,"COL_35","v","alm","","","","","","Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце",1836,35,"",16,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000888&pg_seq=1&search_doc=","Альманахи","alm","Almanacks",NA
"68",122,"COL_36","v","col","lyr","","","","","Мечты при луне. Стихотворения","М.","Кирилова",1836,27,"",19,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections",NA
"69",125,"COL_39","v","alm","","","Крыловский В.","Крыловский В.","","Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова",1836,206,"",12,"ЧБ","https://books.google.com/books?id=paNeAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Альманахи","alm","Almanacks","A_291"
"70",133,"COL_219","v","sep","lyr","ortho","","","","Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","М.","Ун. тип",1836,119,"8",24,"","","Отд. стихотворения","sep_lyr","Lyric booklets",NA
"71",358,NA,"v","alm","","songs; double","","","","Эвтерпа. Подарок любительницам и любителям пения. Собрание новейших романсов и песен. Изд. 2-е","М.","Пономарева",1836,116,"12",18,"","drive/natasha","Альманахи","alm","Almanacks",NA
"72",138,"COL_42","v","col","lyr","","Бахтурин К.А.","Бахтурин К.А.","Бахтурин Константин Александрович","Стихотворения Константина Бахтурина","СПб.","Праца и К.",1837,166,"8",21,"","","Сборники стихотворений","col_lyr","Lyric collections","A_36"
"73",141,"COL_43","v","col","lyr","","Бернет Е.","Бернет Е.","Бернет Е.","Стихи Е. Бернета","СПб.","Снегирева",1837,167,"",21,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000477&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_37"
"74",142,"COL_44","v","col","lyr","","Бороздна И.П.","Бороздна И.П.","Бороздна Иван Петрович","Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","М.","Селивановского",1837,242,"",22,"ЧБ","https://books.google.com/books?id=uBoIZgMRHDsC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_38"
"75",143,"COL_45","v","col","lyr","","Бутырский Н.И.","Бутырский Н.И.","Бутырский Никита Иванович","И моя доля в сонетах. В 2 ч. Соч. Бутырского","СПб.","Вингебера",1837,NA,"8",25,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000417&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_39"
"76",144,"COL_46","v","col","lyr","","Быстроглазов А.","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","СПб.","Вингебера",1837,154,"8",21,"ЧБ","https://books.google.cz/books?vid=NKP:3186276238&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_40"
"77",145,"COL_46","v","col","lyr","","Быстроглазов А.","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","СПб.","Вингебера",1837,186,"",21,"ЧБ","https://books.google.cz/books?vid=NKP:3186262479&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_40"
"78",146,"COL_47","v","sep","lyr","","Глинка Ф.Н.","Глинка Ф.Н.","Глинка Федор Николаевич","Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","М.","Семена",1837,14,"",24,"","drive/photos/1511","Отд. стихотворения","sep_lyr","Lyric booklets","A_41"
"79",148,"COL_48","pr","alm","","","Грен Н.","Грен Н.","Грен Н.","Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","СПб.","Крылова",1837,144,"",17,"","","Альманахи","alm","Almanacks","A_42"
"80",172,"COL_148","v","col","lyr","","Громов И.","Громов И.","Громов И.","Мой кальян: Стихотворения И. Громова","М.","Лазаревых",1837,72,"12",18,"","","Сборники стихотворений","col_lyr","Lyric collections","A_52"
"81",149,"COL_49","v","col","lyr","","Дьячков С.","Дьячков С.П.","Дьячков Семен Петрович","Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","СПб.","Вингебера",1837,31,"16",25,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_43"
"82",153,"COL_50","v","col","lyr","","Кашаев В.","Кашаев В.","Кашаев Виктор","Стихотворения Виктора Кашаева","М.","Кирилова",1837,43,"8",22,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_44"
"83",636,NA,"v","col","lyr","double","Крылов И.","Крылов И.А.","Крылов Иван Андреевич","Басни Ивана Крылова : В 8 кн. 32-я тыс.","СПб.","Смирдина",1837,410,"8",10,"","","Сборники стихотворений","col_lyr","Lyric collections","A_218"
"84",638,NA,"v","col","lyr","double","Крылов И.","Крылов И.А.","Крылов Иван Андреевич","Басни Ивана Крылова : В восьми книгах. - 33-я тыс.","СПб.","Смирдина",1837,410,"8",10,"","","Сборники стихотворений","col_lyr","Lyric collections","A_218"
"85",858,NA,"v","sep","lyr","","Левицкий И.","Левицкий И.","Левицкий Иосиф","Стих в честь его преосвяществу Иоанну Снегурскому бискупу перемыскому, самборскому … дня 8 месяца мая 1837 года во Валяве, яко в день его высокого тезоименитства … Иосифом Левицким … сложенный","Львов","",1837,10,"",23,"BN","https://polona.pl/item/stih-vo-cest-ego-preosvasen-stvu-kyr-ioannu-snegurskomu-biskupovi-peremyskomu,MTE2MzQ2MjU1/0/#info:metadata ","Отд. стихотворения","sep_lyr","Lyric booklets","A_292"
"86",174,"COL_150","v","col","lyr","","Магденко А.","Магденко А.","Магденко Андрей","Стихотворения Андрея Магденки. Издал А. Грен","СПб.","Грен",1837,30,"16",13,"","","Сборники стихотворений","col_lyr","Lyric collections","A_54"
"87",154,"COL_51","v","col","lyr","","Мартынов А.","Мартынов А.","Мартынов Авксентий Матвеевич","Поэтические произведения А. Мартынова. В 3-х кн.","СПб.","Вингебера",1837,249,"8",24,"ЧБ","https://books.google.com/books?id=2VPX7BEfADEC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_45"
